 -5.932, -4.376, -2.961, -1.676, -0.506, 0.550, 1.481, 2.268, 2.894, 3.323, 3.559, 3.773, 3.971, 4.080, 4.202, 4.277, 4.238, 4.296, 4.403, 4.488, 4.652, 4.680, 4.646, 4.618, 4.471, 4.323, 4.222, 4.128, 4.061, 4.045, 4.056, 4.096,
 -4.860, -3.456, -2.208, -1.105, -0.120, 0.762, 1.540, 2.187, 2.709, 3.060, 3.229, 3.455, 3.593, 3.793, 3.904, 3.915, 3.944, 3.927, 4.010, 4.129, 4.195, 4.360, 4.231, 4.205, 4.174, 4.066, 3.914, 3.741, 3.672, 3.657, 3.653, 3.673,
 -3.588, -2.321, -1.230, -0.304, 0.485, 1.176, 1.785, 2.234, 2.551, 2.912, 3.121, 3.311, 3.455, 3.682, 3.829, 3.928, 3.915, 3.865, 3.915, 3.979, 4.051, 4.099, 3.953, 3.989, 3.898, 3.891, 3.810, 3.624, 3.581, 3.567, 3.536, 3.533,
 -2.819, -1.672, -0.715, 0.052, 0.646, 1.117, 1.564, 1.850, 2.122, 2.571, 2.869, 3.120, 3.238, 3.389, 3.554, 3.676, 3.680, 3.603, 3.661, 3.726, 3.763, 3.681, 3.609, 3.720, 3.603, 3.514, 3.462, 3.361, 3.383, 3.356, 3.270, 3.238,
 -2.144, -1.095, -0.245, 0.394, 0.812, 1.042, 1.237, 1.450, 1.762, 2.118, 2.413, 2.669, 2.900, 3.091, 3.298, 3.408, 3.421, 3.350, 3.396, 3.395, 3.423, 3.390, 3.370, 3.373, 3.293, 3.206, 3.132, 3.084, 3.128, 3.031, 2.896, 2.872,
 -1.839, -0.880, -0.118, 0.441, 0.750, 0.779, 0.861, 1.088, 1.297, 1.600, 1.954, 2.216, 2.519, 2.757, 2.996, 3.146, 3.143, 3.145, 3.159, 3.124, 3.201, 3.169, 3.125, 3.069, 3.035, 3.093, 3.014, 2.896, 3.015, 2.982, 2.890, 2.902,
 -1.992, -1.136, -0.460, 0.051, 0.378, 0.435, 0.553, 0.676, 0.798, 1.064, 1.342, 1.683, 1.993, 2.243, 2.503, 2.695, 2.803, 2.852, 2.826, 2.813, 2.854, 2.832, 2.792, 2.791, 2.759, 2.789, 2.770, 2.704, 2.827, 2.870, 2.815, 2.798,
 -1.744, -1.007, -0.459, -0.097, 0.150, 0.211, 0.266, 0.340, 0.404, 0.611, 0.842, 1.052, 1.409, 1.794, 2.137, 2.393, 2.512, 2.611, 2.602, 2.586, 2.676, 2.619, 2.568, 2.490, 2.452, 2.552, 2.551, 2.549, 2.649, 2.639, 2.660, 2.600,
 -1.503, -0.871, -0.440, -0.219, -0.103, -0.103, -0.073, -0.003, -0.042, 0.155, 0.321, 0.481, 0.781, 1.165, 1.624, 2.022, 2.206, 2.352, 2.370, 2.330, 2.357, 2.242, 2.161, 2.111, 2.118, 2.249, 2.247, 2.248, 2.494, 2.426, 2.351, 2.227,
 -1.447, -0.912, -0.534, -0.346, -0.321, -0.344, -0.314, -0.277, -0.315, -0.241, -0.213, -0.052, 0.177, 0.539, 1.011, 1.485, 1.846, 2.074, 2.107, 2.055, 2.003, 1.965, 1.865, 1.796, 1.861, 1.952, 1.959, 1.985, 2.143, 2.087, 1.961, 1.919,
 -1.253, -0.863, -0.636, -0.554, -0.454, -0.394, -0.403, -0.389, -0.462, -0.466, -0.525, -0.465, -0.314, -0.091, 0.348, 0.881, 1.374, 1.794, 1.927, 1.839, 1.756, 1.679, 1.581, 1.533, 1.633, 1.745, 1.746, 1.737, 1.857, 1.798, 1.703, 1.701,
 -1.118, -0.870, -0.763, -0.764, -0.670, -0.589, -0.551, -0.513, -0.604, -0.610, -0.702, -0.789, -0.706, -0.629, -0.371, 0.132, 0.696, 1.350, 1.669, 1.534, 1.469, 1.406, 1.302, 1.281, 1.365, 1.523, 1.556, 1.531, 1.619, 1.518, 1.447, 1.463,
 -0.722, -0.636, -0.746, -0.879, -0.841, -0.753, -0.751, -0.726, -0.721, -0.729, -0.794, -0.938, -0.949, -0.935, -0.874, -0.594, -0.162, 0.630, 1.253, 1.125, 1.146, 1.122, 1.041, 1.053, 1.118, 1.270, 1.361, 1.418, 1.453, 1.323, 1.204, 1.156,
 -0.637, -0.668, -0.880, -1.073, -0.947, -0.857, -0.900, -0.883, -0.931, -0.886, -0.900, -1.024, -1.098, -1.150, -1.146, -1.091, -1.066, -0.348, 0.614, 0.707, 0.802, 0.776, 0.716, 0.761, 0.842, 1.025, 1.105, 1.103, 1.169, 1.064, 0.986, 0.966,
 -0.726, -0.840, -1.065, -1.208, -1.094, -0.983, -0.934, -0.937, -1.011, -0.995, -1.036, -1.122, -1.142, -1.147, -1.107, -1.025, -0.848, -0.461, -0.000, 0.282, 0.388, 0.404, 0.435, 0.547, 0.628, 0.744, 0.808, 0.819, 0.924, 0.814, 0.721, 0.768,
 -0.638, -0.874, -1.185, -1.323, -1.228, -1.087, -0.998, -0.958, -1.006, -1.066, -1.146, -1.189, -1.146, -1.150, -1.090, -0.980, -0.804, -0.567, -0.311, -0.059, 0.114, 0.197, 0.230, 0.348, 0.367, 0.440, 0.528, 0.590, 0.676, 0.635, 0.570, 0.602,
 -0.535, -0.883, -1.305, -1.485, -1.319, -1.138, -1.071, -1.049, -1.141, -1.125, -1.189, -1.231, -1.207, -1.211, -1.103, -0.937, -0.802, -0.640, -0.470, -0.277, -0.039, 0.037, 0.040, 0.176, 0.161, 0.248, 0.358, 0.362, 0.435, 0.454, 0.496, 0.563,
 -0.818, -1.163, -1.464, -1.517, -1.357, -1.151, -1.101, -1.164, -1.223, -1.176, -1.215, -1.219, -1.192, -1.135, -1.025, -0.895, -0.799, -0.696, -0.573, -0.421, -0.253, -0.143, -0.068, 0.056, 0.069, 0.130, 0.220, 0.232, 0.262, 0.349, 0.422, 0.490,
 -1.009, -1.308, -1.520, -1.563, -1.413, -1.272, -1.198, -1.240, -1.305, -1.232, -1.171, -1.178, -1.152, -1.122, -0.977, -0.851, -0.787, -0.708, -0.637, -0.506, -0.368, -0.235, -0.149, -0.023, 0.015, 0.091, 0.136, 0.117, 0.192, 0.250, 0.296, 0.391,
 -1.188, -1.440, -1.594, -1.624, -1.533, -1.458, -1.388, -1.341, -1.348, -1.249, -1.150, -1.165, -1.071, -1.026, -0.918, -0.813, -0.782, -0.713, -0.660, -0.569, -0.453, -0.357, -0.291, -0.154, -0.105, 0.037, 0.089, 0.058, 0.106, 0.055, 0.216, 0.280,
 -1.524, -1.722, -1.822, -1.797, -1.681, -1.629, -1.569, -1.513, -1.416, -1.232, -1.160, -1.113, -1.078, -1.045, -1.011, -0.919, -0.851, -0.771, -0.695, -0.590, -0.476, -0.332, -0.270, -0.221, -0.212, -0.100, -0.028, 0.006, -0.002, -0.048, 0.069, 0.045,
 -2.001, -2.126, -2.137, -2.058, -1.864, -1.838, -1.729, -1.611, -1.594, -1.339, -1.182, -1.121, -1.097, -1.041, -1.026, -0.931, -0.860, -0.792, -0.718, -0.621, -0.529, -0.432, -0.416, -0.321, -0.333, -0.257, -0.203, -0.260, -0.256, -0.253, -0.188, -0.068,
 -2.371, -2.436, -2.395, -2.257, -2.026, -1.933, -1.879, -1.777, -1.732, -1.577, -1.416, -1.146, -1.140, -1.078, -0.998, -0.914, -0.897, -0.864, -0.778, -0.701, -0.668, -0.590, -0.546, -0.478, -0.411, -0.365, -0.368, -0.487, -0.496, -0.485, -0.524, -0.352,
 -2.574, -2.595, -2.533, -2.400, -2.227, -2.106, -2.032, -1.962, -1.914, -1.779, -1.688, -1.392, -1.240, -1.175, -1.088, -1.035, -1.056, -1.033, -0.931, -0.879, -0.899, -0.833, -0.779, -0.530, -0.526, -0.609, -0.681, -0.787, -0.797, -0.838, -0.889, -0.669,
 -2.627, -2.636, -2.584, -2.493, -2.391, -2.297, -2.107, -2.002, -2.056, -1.875, -1.665, -1.548, -1.274, -1.239, -1.099, -1.094, -1.182, -1.107, -1.031, -1.039, -0.990, -1.071, -1.078, -0.778, -0.797, -0.776, -0.874, -1.007, -1.033, -1.237, -1.324, -1.067,
