Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00435848

Date MM-DD-YYYY        ,       09-19-2018
Time HH:MM:SS          ,       16:44:40


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       465
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.308
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.075
Beam Center Y [mm]     ,      -0.097
Beam Diameter X [mm]   ,       3.934
Beam Diameter Y [mm]   ,       4.385


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       1
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,      -0.200
Pupil Center Y [mm]    ,      -0.200


*** CENTROIDS [pixels] ***
Centroids X            ,       47
Centroids Y            ,       35
  20.737, 282.500,   52.332, 284.026,   83.401, 287.832,  116.055, 289.044,  147.427, 292.384,  177.529, 295.668,  209.772, 298.862,  240.312, 304.482,  271.419, 308.743,  302.618, 313.735,  332.355, 317.774,  363.000, 321.750,  392.012, 321.946,  420.861, 323.011,  448.379, 322.401,  480.254, 322.206,  508.469, 322.668,  538.552, 321.914,  569.168, 322.591,  597.567, 322.502,  629.071, 322.157,  658.721, 322.653,  687.896, 322.449,  718.839, 322.973,  747.949, 322.738,  778.451, 322.683,  808.747, 322.907,  837.689, 322.933,  868.233, 323.257,  898.305, 322.843,  927.743, 323.362,  958.407, 323.076,  987.439, 323.118, 1017.173, 323.606, 1048.428, 323.041, 1077.475, 323.376, 1107.533, 323.565, 1137.493, 323.312, 1166.778, 323.593, 1205.000, 314.667, 1240.833, 304.667, 1272.581, 299.387, 1304.286, 294.196, 1335.455, 291.945, 1365.975, 286.846, 1395.434, 283.637, 1425.192, 281.254, 
  11.826, 306.658,   45.505, 309.937,   78.475, 313.825,  110.722, 318.833,  142.345, 322.966,  174.421, 327.228,  206.725, 330.650,  237.412, 335.765,  269.000, 341.235,  297.812, 345.312,  328.833, 349.750,  363.426, 352.277,  392.107, 353.352,  420.820, 352.760,  447.840, 352.577,  481.222, 352.662,  508.353, 352.531,  538.809, 353.151,  568.825, 352.402,  597.531, 352.880,  629.541, 352.901,  658.564, 352.708,  688.208, 352.994,  718.430, 352.594,  748.121, 352.711,  778.723, 352.789,  808.310, 352.686,  838.027, 352.725,  867.993, 352.618,  898.253, 352.478,  928.038, 352.657,  957.984, 352.660,  987.665, 352.393, 1017.560, 352.466, 1047.862, 352.402, 1077.420, 352.445, 1107.610, 352.517, 1137.346, 352.398, 1166.889, 352.210, 1198.000, 353.000,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
  28.500, 340.469,   57.800, 344.933,   91.667, 349.333,  129.727, 351.909,  156.033, 352.867,  180.200, 355.133,  214.048, 358.571,  244.273, 360.273,  274.000, 365.600,  306.000, 374.000,  334.500, 376.667,  363.891, 382.081,  392.764, 382.585,  420.687, 382.251,  449.257, 382.641,  479.787, 382.491,  508.525, 382.434,  538.735, 382.481,  568.927, 382.505,  598.286, 382.706,  628.844, 382.375,  658.342, 382.703,  688.380, 382.636,  718.735, 382.537,  748.214, 383.002,  778.390, 382.382,  808.396, 382.642,  838.089, 382.702,  868.216, 382.395,  898.338, 382.928,  927.833, 382.398,  958.175, 382.490,  987.650, 382.886, 1017.494, 382.368, 1048.433, 382.737, 1077.325, 382.678, 1107.507, 382.276, 1137.498, 382.915, 1166.432, 382.653, 1198.000, 382.500,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  364.400, 412.348,  392.356, 412.071,  420.772, 412.929,  447.926, 412.289,  480.510, 412.320,  508.458, 412.707,  538.190, 412.209,  569.334, 413.160,  597.477, 412.679,  629.484, 412.882,  658.594, 412.886,  687.889, 412.774,  718.895, 413.206,  747.943, 412.838,  778.787, 413.040,  808.451, 412.920,  837.649, 412.884,  868.208, 413.128,  898.397, 412.811,  928.102, 413.041,  958.039, 413.018,  987.726, 412.891, 1017.276, 413.148, 1048.495, 412.942, 1077.522, 412.830, 1107.070, 413.233, 1137.962, 412.778, 1166.146, 412.968, 1197.714, 413.381,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  364.913, 442.471,  392.209, 443.082,  421.074, 442.297,  448.225, 442.850,  480.411, 443.034,  508.608, 442.383,  538.623, 443.103,  569.086, 442.408,  597.943, 442.431,  628.917, 442.811,  658.574, 442.437,  688.185, 442.735,  718.680, 442.456,  748.158, 442.174,  778.518, 442.674,  808.305, 442.421,  837.988, 442.384,  868.206, 442.412,  898.137, 442.147,  928.060, 442.408,  957.978, 442.336,  987.943, 442.176, 1017.746, 442.361, 1047.825, 442.470, 1077.621, 442.487, 1107.587, 442.435, 1137.768, 442.651, 1166.729, 442.538, 1197.356, 442.779, 1228.000, 442.500,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  364.909, 472.956,  392.370, 472.717,  421.025, 472.889,  448.750, 472.876,  479.704, 472.582,  508.665, 473.096,  538.553, 472.565,  569.031, 472.712,  597.997, 472.942,  628.948, 472.332,  658.563, 472.851,  688.156, 472.314,  718.700, 472.585,  748.311, 472.899,  778.489, 472.360,  808.478, 472.603,  837.678, 472.613,  868.330, 472.432,  898.444, 472.556,  927.797, 472.445,  958.193, 472.428,  987.670, 472.579, 1017.489, 472.610, 1048.500, 472.500, 1077.431, 472.880, 1106.993, 472.609, 1137.756, 472.688, 1166.274, 473.161, 1197.902, 472.609, 1228.200, 472.600,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  364.869, 502.284,  391.680, 501.925,  421.451, 502.405,  447.820, 502.513,  480.949, 502.399,  508.397, 502.616,  538.160, 502.638,  569.547, 502.553,  597.573, 502.789,  629.278, 502.697,  658.515, 502.629,  687.804, 502.836,  718.963, 502.557,  748.201, 502.714,  778.744, 502.665,  808.444, 502.558,  837.648, 502.855,  868.253, 502.604,  898.520, 502.817,  927.948, 502.700,  958.082, 502.863,  987.826, 502.649, 1017.540, 502.717, 1048.058, 502.806, 1077.523, 502.500, 1107.083, 503.002, 1137.564, 502.503, 1166.794, 502.646, 1197.322, 502.930, 1227.267, 502.267,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  365.792, 532.439,  391.990, 532.890,  421.383, 532.517,  448.606, 532.427,  480.025, 532.797,  508.801, 532.332,  538.568, 532.698,  569.138, 532.364,  598.210, 532.097,  628.874, 532.601,  658.630, 532.258,  688.405, 532.487,  718.754, 532.490,  748.327, 532.132,  778.589, 532.569,  808.411, 532.561,  838.286, 532.526,  868.247, 532.602,  898.121, 532.619,  928.066, 532.658,  957.988, 532.671,  988.010, 532.928, 1017.716, 532.678, 1047.983, 532.792, 1077.554, 532.797, 1107.619, 532.540, 1137.646, 532.905, 1167.071, 532.603, 1197.266, 532.545, 1227.188, 533.062,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  365.452, 562.865,  392.123, 562.312,  421.178, 562.798,  448.556, 562.701,  479.948, 562.171,  508.872, 562.766,  538.295, 562.152,  569.304, 562.666,  597.982, 562.623,  629.047, 562.138,  658.653, 562.657,  687.793, 562.359,  719.079, 562.632,  748.406, 562.561,  778.688, 562.287,  808.471, 562.544,  837.749, 562.503,  868.391, 562.455,  898.591, 562.508,  927.964, 562.554,  957.930, 562.530,  987.886, 562.358, 1017.496, 562.523, 1048.518, 562.484, 1077.711, 562.680, 1106.952, 562.615, 1138.023, 562.617, 1166.633, 562.644, 1197.785, 562.641, 1227.621, 562.621,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  365.594, 591.755,  391.410, 592.421,  422.182, 591.478,  448.050, 592.487,  480.462, 592.370,  508.726, 592.169,  537.946, 592.893,  569.783, 591.823,  597.955, 592.456,  629.016, 592.886,  658.832, 592.271,  687.701, 592.734,  719.127, 592.552,  748.453, 592.535,  778.383, 593.056,  808.662, 592.663,  837.762, 592.526,  868.272, 592.834,  898.500, 592.484,  927.936, 592.746,  958.109, 592.834,  987.867, 592.259, 1017.719, 592.718, 1048.093, 592.512, 1077.644, 592.457, 1107.292, 592.702, 1137.647, 592.180, 1167.056, 592.568, 1197.235, 592.604, 1227.600, 592.200,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  366.154, 622.516,  392.302, 622.625,  421.470, 622.710,  448.877, 622.343,  479.734, 622.913,  508.694, 622.658,  538.533, 622.694,  569.194, 622.855,  598.275, 622.874,  628.870, 622.862,  658.636, 622.933,  688.423, 622.867,  718.705, 622.821,  748.423, 623.121,  778.416, 622.791,  808.480, 622.944,  838.137, 622.987,  868.220, 622.710,  898.337, 622.872,  928.137, 622.727,  957.916, 622.573,  987.935, 622.824, 1017.827, 622.556, 1048.085, 622.493, 1077.444, 622.644, 1107.025, 622.257, 1137.815, 622.558, 1166.763, 622.538, 1197.243, 622.089, 1227.833, 622.667,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  365.238, 652.352,  392.054, 651.937,  421.924, 652.641,  448.513, 652.344,  480.154, 651.704,  508.623, 652.690,  538.110, 652.049,  569.801, 652.534,  597.956, 652.396,  629.211, 652.097,  658.515, 652.565,  687.578, 652.343,  719.587, 652.196,  748.675, 652.528,  778.473, 652.189,  808.343, 652.287,  837.696, 652.501,  868.305, 652.006,  898.617, 652.387,  927.852, 652.197,  957.838, 652.203,  987.933, 652.529, 1017.573, 652.105, 1048.478, 652.438, 1077.335, 652.325, 1107.097, 652.358, 1138.308, 652.465, 1166.488, 652.098, 1197.684, 652.747,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
