 -6.423, -5.422, -4.422, -3.418, -2.387, -1.390, -0.397, 0.613, 1.609, 2.450, 2.469, 2.918, 3.600, 3.440, 4.258, 4.291, 3.685, 3.929, 3.528, 4.129, 3.939, 2.906, 2.955, 2.079, 0.753, -0.315, -1.329, -2.346, -3.348, -4.334, -5.343,
 -8.660, -7.662, -6.659, -5.657, -4.670, -3.675, -2.655, -1.586, -0.617, -0.024, 0.469, 0.799, 0.763, 0.705, 0.341, 0.161, 0.422, 0.584, 0.522, 0.380, 0.622, 0.938, 0.959, 0.727, 0.319, -0.243, -0.831, -1.621, -2.623, -3.632, -4.655,
 -6.966, -5.941, -4.919, -3.938, -2.945, -1.939, -0.929, 0.218, 0.914, 0.216, -0.246, -0.416, -0.213, 0.801, 0.771, 0.700, 0.813, 0.533, 0.706, 0.808, 1.896, 1.638, 0.197, 0.828, 0.999, 0.590, 0.401, -0.092, -0.904, -1.891, -2.873,
 -5.172, -4.194, -3.198, -2.192, -1.169, 0.004, 1.172, 1.499, 1.436, 1.584, 2.155, 2.355, 1.927, 1.847, 2.230, 2.408, 2.304, 2.463, 2.155, 2.292, 2.433, 1.915, 2.580, 2.198, 1.707, 2.312, 1.735, 1.204, 0.763, -0.142, -1.120,
 -4.469, -3.465, -2.443, -1.419, -0.400, 0.549, 0.586, 0.130, 0.860, 0.980, 0.583, 0.496, 0.379, 0.627, 0.356, 0.675, 1.020, 0.672, 0.659, 0.611, 0.664, 0.641, 0.570, 0.441, -0.388, -0.478, 0.055, -0.001, -0.380, -1.259, -2.379,
 -1.724, -0.744, 0.262, 1.276, 2.150, 1.965, 1.088, 1.436, 1.540, 1.460, 1.596, 1.473, 1.620, 1.572, 1.645, 1.834, 1.780, 1.882, 1.956, 1.791, 1.620, 1.826, 1.934, 1.492, 1.625, 1.164, 0.601, 0.828, 0.803, 0.741, 0.323,
 -1.977, -0.968, 0.022, 0.968, 1.061, 0.734, 1.165, 1.094, 0.934, 1.095, 1.028, 1.101, 1.002, 1.011, 1.188, 1.393, 1.430, 1.537, 1.700, 1.693, 1.832, 1.716, 1.572, 1.697, 1.356, 1.380, 1.261, 1.136, 1.258, 0.630, -0.063,
 -3.232, -2.215, -1.179, 0.012, 0.862, 1.208, 0.682, 0.577, 1.107, 0.813, 1.075, 1.227, 0.915, 0.951, 0.804, 0.933, 1.088, 0.932, 1.256, 1.530, 1.505, 1.541, 1.543, 1.478, 1.478, 1.277, 1.069, 0.734, 0.779, 1.085, 0.650,
 -0.537, 0.494, 1.292, 1.748, 2.060, 1.844, 1.818, 2.024, 1.645, 1.825, 1.625, 1.230, 1.464, 1.368, 1.584, 1.560, 1.434, 1.720, 1.720, 2.225, 2.344, 2.233, 2.246, 1.903, 2.111, 2.005, 1.618, 1.722, 1.368, 1.499, 1.482,
 -1.780, -0.763, 0.126, 0.694, 0.671, 0.392, 0.598, 0.334, 0.398, 0.853, 0.628, 0.423, 0.341, 0.379, 0.449, 0.423, 0.632, 1.105, 1.149, 1.236, 1.435, 1.313, 1.214, 1.126, 1.134, 1.158, 1.305, 1.491, 0.978, 0.638, 0.906,
 -1.039, 0.004, 1.014, 1.087, 0.874, 0.961, 0.290, 0.250, 0.862, 0.613, 0.541, 0.495, 0.379, 0.575, 0.393, 0.478, 0.768, 0.814, 1.234, 1.312, 1.304, 1.227, 0.638, 1.138, 1.518, 0.832, 0.649, 1.138, 1.340, 0.944, 0.436,
 -1.297, -0.270, 0.665, 1.270, 1.156, 0.736, 0.968, 1.207, 1.216, 0.576, 0.111, 0.777, 0.770, 0.494, 0.441, 0.346, 0.807, 1.703, 2.245, 2.000, 1.526, 1.468, 1.438, 1.599, 1.871, 1.529, 1.004, 1.003, 1.150, 0.846, 1.004,
 -0.535, 0.412, 1.034, 1.101, 0.879, 0.726, 0.689, 0.683, 0.810, 0.965, 0.246, -0.180, 0.214, -0.310, -0.896, -1.096, -0.246, 1.746, 2.643, 2.210, 1.692, 1.164, 0.990, 1.492, 1.799, 1.649, 1.299, 1.064, 0.576, 0.258, 0.494,
 0.173, 0.943, 1.412, 1.172, 1.062, 1.072, 0.629, 0.872, 1.043, 1.049, 1.228, 0.933, 0.665, 0.221, -0.407, -1.719, -2.505, 1.312, 3.843, 2.666, 2.184, 1.937, 1.849, 1.850, 2.121, 2.026, 2.148, 2.178, 1.608, 1.130, 0.571,
 -1.104, 0.098, 0.667, 0.938, 1.035, 0.278, -0.032, -0.236, -0.211, 0.363, 0.536, 0.372, -0.030, -0.280, -0.369, -0.496, 0.092, 1.547, 1.953, 1.681, 1.845, 1.547, 1.310, 1.460, 1.692, 1.834, 1.230, 0.880, 0.822, 0.593, 0.959,
 -0.374, 0.526, 0.998, 0.920, 0.881, 1.219, 0.930, 0.210, 0.071, 0.537, 0.744, 0.138, 0.161, 0.405, 0.043, -0.065, 0.206, 0.848, 1.722, 1.713, 1.050, 1.374, 1.345, 1.354, 1.917, 1.493, 1.058, 1.057, 1.143, 1.127, 0.904,
 -0.617, 0.614, 1.148, 1.126, 1.068, 0.678, 0.696, 0.860, 0.330, 0.051, 0.278, 0.405, 0.082, -0.363, -0.325, -0.155, 0.053, 0.352, 0.869, 1.077, 1.254, 1.123, 0.511, 0.659, 1.096, 0.736, 0.535, 1.004, 0.653, 0.040, -0.011,
 -1.869, -0.841, 0.059, 0.727, 0.879, 0.226, -0.009, 0.400, 0.458, 0.177, -0.197, -0.317, -0.330, -0.462, -0.229, -0.051, 0.019, 0.405, 0.296, 0.471, 0.840, 0.808, 0.793, 0.474, 0.404, 0.731, 1.004, 0.962, 0.327, 0.208, 0.669,
